point_id,mean,min,max,std,status,lc2022,total_peaks,geo
0000000000000000004c,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[82.63579763549686,28.845755268901353]}"
0000000000000000004d,0.6456,0.2288,0.928,0.1578,DISCARDED (Crop or Disturbance),4,18.0,"{""type"":""Point"",""coordinates"":[80.54263317359462,29.810816214393377]}"
0000000000000000004e,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[86.8288642609931,26.994867144535988]}"
0000000000000000004f,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[84.30882113704239,27.550836782081728]}"
00000000000000000050,0.6058,0.3455,0.8529,0.1065,STABLE NON-CROP (Rangeland),4,13.0,"{""type"":""Point"",""coordinates"":[86.97412393691016,27.02019929762061]}"
00000000000000000051,0.7513,0.5412,0.8896,0.0735,STABLE NON-CROP (Rangeland),4,8.0,"{""type"":""Point"",""coordinates"":[82.32642074530773,29.171577323775594]}"
00000000000000000052,,,,,DISCARDED (Insufficient Samples),9,,"{""type"":""Point"",""coordinates"":[83.66850314396966,28.938464438903544]}"
00000000000000000053,0.6242,0.2147,0.9177,0.1709,DISCARDED (Crop or Disturbance),4,17.0,"{""type"":""Point"",""coordinates"":[87.36165549126304,26.92749458671947]}"
00000000000000000054,0.6279,0.3317,0.842,0.1129,STABLE NON-CROP (Rangeland),4,22.0,"{""type"":""Point"",""coordinates"":[83.71189019721969,28.258799338135226]}"
00000000000000000055,0.5266,0.2639,0.8354,0.1416,STABLE NON-CROP (Forest),4,23.0,"{""type"":""Point"",""coordinates"":[82.27602398520169,29.244068929601458]}"
00000000000000000056,0.6674,0.3771,0.8436,0.1002,STABLE NON-CROP (Rangeland),4,20.0,"{""type"":""Point"",""coordinates"":[85.58245187543287,27.63383848909057]}"
00000000000000000057,0.7108,0.4455,0.8726,0.1116,STABLE NON-CROP (Rangeland),4,17.0,"{""type"":""Point"",""coordinates"":[85.89210077078624,27.75349400675873]}"
00000000000000000058,0.6802,0.21,0.9734,0.1539,DISCARDED (Crop or Disturbance),4,12.0,"{""type"":""Point"",""coordinates"":[86.84745871238597,27.483464224265212]}"
00000000000000000059,0.7211,0.5031,0.9059,0.0809,STABLE NON-CROP (Rangeland),4,16.0,"{""type"":""Point"",""coordinates"":[80.57308883378965,29.197449028087693]}"
0000000000000000005a,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[81.17459927039424,28.680019400946875]}"
0000000000000000005b,0.246,0.1057,0.5393,0.0943,DISCARDED (Crop or Disturbance),9,14.0,"{""type"":""Point"",""coordinates"":[83.91967092900711,29.25403947955696]}"
0000000000000000005c,,,,,DISCARDED (Insufficient Samples),2,,"{""type"":""Point"",""coordinates"":[83.76686645410763,29.01472844422063]}"
0000000000000000005d,0.7117,0.2332,0.9457,0.1556,DISCARDED (Crop or Disturbance),4,14.0,"{""type"":""Point"",""coordinates"":[81.87043307158235,29.355640097059734]}"
0000000000000000005e,0.4524,0.0443,0.7442,0.1146,DISCARDED (Crop or Disturbance),10,19.0,"{""type"":""Point"",""coordinates"":[81.80899111816694,30.045815299011032]}"
0000000000000000005f,,,,,DISCARDED (Insufficient Samples),4,,"{""type"":""Point"",""coordinates"":[87.85105966828293,27.185132527385466]}"
00000000000000000060,0.6916,0.4131,0.8688,0.1023,STABLE NON-CROP (Rangeland),4,22.0,"{""type"":""Point"",""coordinates"":[85.27711493079815,27.604733936514727]}"
