point_id,mean,min,max,std,status,total_non_crop,max_consecutive_non_crop,total_peaks,geo
2371,0.4126,0.2244,0.7218,0.0871,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.14157574806077,27.967307795178836]}"
2372,0.4725,0.214,0.7979,0.0909,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[83.77413253872628,27.940047131405933]}"
2373,0.4826,0.1555,0.8526,0.1492,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[83.2789119779766,27.92626979115403]}"
2374,0.4917,0.1938,0.8654,0.098,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.09115429062066,27.961976445842204]}"
2375,0.3898,0.1887,0.7518,0.0869,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[82.81217505676742,27.911852527764974]}"
2376,0.3927,0.1547,0.7241,0.1236,STABLE CROPLAND,3.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.83956281160751,27.911793316912984]}"
2377,0.373,0.1698,0.7165,0.1106,DISCARDED (Static Vegetation / Low Amplitude),2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[82.86442536305677,27.910601209487332]}"
2378,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.46764655610565,27.950680274617774]}"
2379,0.3746,0.1635,0.6988,0.1184,DISCARDED (Static Vegetation / Low Amplitude),2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[83.25357853876407,27.92268186042266]}"
2380,0.4436,0.0124,0.8217,0.0933,STABLE CROPLAND,2.0,2.0,21.0,"{""type"":""Point"",""coordinates"":[84.64106571648028,27.951214738965188]}"
2381,0.4076,0.1666,0.7998,0.1001,STABLE CROPLAND,3.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.88511823270267,27.909248543208268]}"
2382,0.4562,0.2025,0.8252,0.1055,STABLE CROPLAND,2.0,1.0,21.0,"{""type"":""Point"",""coordinates"":[85.16267429097734,27.959079721463112]}"
2383,0.4063,0.1675,0.7349,0.0823,DISCARDED (Failed Phenology),4.0,1.0,19.0,"{""type"":""Point"",""coordinates"":[83.14068936673675,27.91738132168268]}"
2384,0.5068,0.275,0.8335,0.1114,DISCARDED (Static Vegetation / Low Amplitude),7.0,3.0,17.0,"{""type"":""Point"",""coordinates"":[85.3946132795115,27.96150218891159]}"
2385,0.5164,0.2063,0.87,0.0654,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[84.67410247250037,27.950070737099587]}"
2386,0.3925,0.0164,0.85,0.1138,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[84.73872373351536,27.947725979042826]}"
2387,0.402,0.1687,0.8231,0.1348,DISCARDED (Failed Phenology),4.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[82.7875380045159,27.901784805188257]}"
2388,0.3884,0.1386,0.7392,0.1171,DISCARDED (Failed Phenology),5.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.44337775529652,27.889209569296114]}"
2389,0.4269,0.116,0.7948,0.0807,DISCARDED (Failed Phenology),6.0,2.0,21.0,"{""type"":""Point"",""coordinates"":[82.39573413066029,27.88859828398394]}"
2390,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[85.00637439925158,27.94834780304446]}"
2391,0.442,0.0898,0.8252,0.1058,STABLE CROPLAND,3.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.92464664218673,27.90233066550711]}"
2392,0.4535,0.2009,0.7806,0.076,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.18425193849983,27.950675421094687]}"
2393,0.3945,0.0933,0.7869,0.097,DISCARDED (Failed Phenology),7.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.37147925589363,27.883414369352614]}"
2394,0.4403,0.1166,0.8146,0.0841,DISCARDED (Failed Phenology),7.0,3.0,22.0,"{""type"":""Point"",""coordinates"":[82.4230886974706,27.890182092384848]}"
2395,0.4108,0.1581,0.7994,0.0907,STABLE CROPLAND,2.0,2.0,22.0,"{""type"":""Point"",""coordinates"":[83.09197054246714,27.905484673853785]}"
2396,0.4539,0.2207,0.8418,0.1167,STABLE CROPLAND,1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.21941898695363,27.948554563988218]}"
2397,0.4503,0.2335,0.6995,0.0634,DISCARDED (Static Vegetation / Low Amplitude),4.0,1.0,20.0,"{""type"":""Point"",""coordinates"":[82.33178025995159,27.883835246881475]}"
2398,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.10990133652638,27.929345354311586]}"
2399,0.4518,0.1592,0.8087,0.0946,STABLE CROPLAND,1.0,1.0,23.0,"{""type"":""Point"",""coordinates"":[85.24147243553021,27.947453854551433]}"
2400,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[84.92651402330421,27.944041038909102]}"
2401,0.4682,0.1741,0.8546,0.0697,STABLE CROPLAND,0.0,0.0,23.0,"{""type"":""Point"",""coordinates"":[85.27046544695031,27.94740911043217]}"
2402,0.4463,0.2129,0.7616,0.0814,DISCARDED (Static Vegetation / Low Amplitude),1.0,1.0,22.0,"{""type"":""Point"",""coordinates"":[85.07368022006543,27.944508758497154]}"
2403,,,,,DISCARDED (Insufficient Samples),,,,"{""type"":""Point"",""coordinates"":[81.92332579613645,27.86835293660015]}"
