filename,geoReg,ALV,MoranI,ALV_norm,MoranI_norm,Global_Score
s-5_n-10_cn-4_cm-2.geojson,2,0.0007094847089724383,0.6993433220367894,0.28275491051045226,0.7387993458852008,1.021554256395653
s-13_n-26_cn-4_cm-7.geojson,2,0.001483200100476133,0.5878340600863582,0.96032670718569,0.06230567282597154,1.0226323800116615
s-4_n-8_cn-8_cm-2.geojson,2,0.0005887743357842826,0.7181420184298329,0.17704427668231992,0.8528454703883693,1.0298897470706891
s-11_n-22_cn-4_cm-6.geojson,2,0.0013633085130381594,0.607675876133416,0.8553331149699324,0.18268009539013946,1.0380132103600719
s-3_n-6_cn-8_cm-2.geojson,2,0.00046203191521289235,0.7383925994625538,0.06605115109045895,0.9756997490804712,1.0417509001709302
s-6_n-12_cn-8_cm-3.geojson,2,0.000894979160394271,0.6761144897068857,0.4451994089699075,0.5978768984680627,1.0430763074379703
s-4_n-8_cn-4_cm-2.geojson,2,0.0006054195988250989,0.7183296550710349,0.19162116232857634,0.8539838063291418,1.0456049686577182
s-6_n-12_cn-4_cm-3.geojson,2,0.0009006429250958145,0.6768655531381387,0.4501593816768125,0.6024333779068258,1.0525927595836384
s-9_n-18_cn-8_cm-5.geojson,2,0.0012157841609780667,0.6325341343029913,0.7261404669027394,0.33348778688455505,1.0596282537872943
s-9_n-18_cn-4_cm-5.geojson,2,0.0012186794172539541,0.6330800192491707,0.728675952196467,0.33679950921012086,1.0654754614065878
s-3_n-6_cn-4_cm-2.geojson,2,0.0004834843815189889,0.7396330304557897,0.08483788623590734,0.9832250766103376,1.068062962846245
s-10_n-20_cn-8_cm-6.geojson,2,0.001327071977847813,0.6178946900132452,0.8235994122107165,0.24467461328899567,1.0682740254997123
s-13_n-26_cn-8_cm-8.geojson,2,0.0015264296015985673,0.5902082247301792,0.9981844143820994,0.07670902670217052,1.0748934410842699
s-13_n-26_cn-4_cm-8.geojson,2,0.0015285028085178273,0.5915878256952684,1.0,0.0850786572414175,1.0850786572414175
s-3_n-6_cn-8_cm-3.geojson,2,0.0005088628481188458,0.7393604424190904,0.10706276814953725,0.9815713657081825,1.0886341338577197
s-12_n-24_cn-4_cm-7.geojson,2,0.0014513097046813662,0.6040350213134191,0.9323990828775448,0.1605921072968279,1.0929911901743727
